1,2016-04-25,05:55:05,9993543319970687,67309,593.79
2,2015-10-02,23:59:20,9998877339684773,51042,261.35
3,2015-10-31,14:17:42,9999568788275757,43397,326.38
4,2015-09-06,14:38:17,9996551052716453,81877,9.65
5,2015-10-10,00:49:25,9994471239012508,67627,934.28
6,2015-12-04,23:30:39,9994375804697927,63816,719.17
7,2016-01-19,02:09:26,9993080375839494,72139,512.68
8,2016-04-01,09:51:45,9992675360032966,76708,478.63
9,2016-01-27,11:45:17,9993756816247962,19674,447.88
10,2016-08-09,07:24:47,9998745735163670,37612,102.20
11,2016-02-07,09:50:52,9991870825775046,54710,762.50
12,2016-06-07,09:44:47,9998401525430998,75571,576.86
13,2015-09-08,23:57:28,9995986211215742,88269,416.16
14,2016-05-15,18:13:23,9992406128840453,81806,351.40
15,2016-01-21,08:38:41,9999327211977741,56226,939.10
16,2015-11-23,22:23:42,9997608258111742,47839,729.94
17,2016-03-03,06:34:24,9999170808545942,91060,570.59
18,2016-08-05,16:08:59,9996999480322261,15341,530.73
19,2016-01-17,09:04:13,9993714942080669,24903,910.3
20,2015-11-22,07:06:03,9993435791838339,40857,192.62
21,2016-07-09,15:21:00,9994493573295075,22986,39.15
22,2016-04-02,01:00:41,9993483701320903,43208,529.52
23,2016-03-10,16:17:10,9995484463999706,55354,382.47
24,2016-02-24,04:40:47,9991309474456880,79547,283.53
25,2016-03-30,23:15:38,9992706567761777,61588,215.51
26,2015-08-27,02:20:44,9999901650691302,49275,219.91
27,2016-05-27,02:01:16,9999501068255074,88702,708.12
28,2016-03-24,12:33:44,9990126001968243,61009,586.24
29,2016-08-22,01:11:02,9993149017910639,63260,215.67
30,2015-09-25,16:29:33,9994665030631300,18109,375.75
31,2016-03-14,16:11:39,9998566613159617,54482,339.42
32,2016-06-18,21:47:53,9999674206657887,93761,535.2
33,2016-07-23,11:10:07,9993999062875437,17956,187.12
34,2016-04-27,08:07:37,9996569202026480,2112,279.55
35,2015-10-17,08:12:14,9991152877420917,81253,487.37
36,2015-09-10,14:21:53,9992931395263413,3000,191.43
37,2016-06-29,14:37:19,9994392219234428,35276,513.14
38,2015-11-12,04:08:28,9992651627424854,93761,855.28
39,2015-09-18,21:38:26,9994727317070994,11432,41.76
40,2016-03-18,00:11:18,9998122380820432,8026,131.84
41,2015-10-08,08:51:41,9990749617332015,16474,4.0
42,2015-11-21,01:02:07,9998523138967773,74447,830.19
43,2016-07-26,21:47:27,9997749508683913,42036,880.23
44,2016-01-20,18:43:02,9990440041526053,16555,468.57
45,2016-05-26,20:08:01,9993253453382857,33204,157.89
46,2016-08-07,10:43:30,9998889281481086,17477,201.23
47,2016-01-06,06:25:43,9999774050146478,46686,756.89
48,2015-09-24,06:20:45,9999695195879648,2035,937.12
49,2015-09-20,03:40:08,9997948509996393,44356,349.55
50,2015-10-04,14:12:13,9990491391293496,84214,341.9
51,2016-01-10,16:40:49,9997564565425690,60012,634.4
